action_id,seller_name,seller_country_iso,target_name,acquirer_name,announce_date,completion_or_termination_date,deal_status,deal_type,percent_sought,transaction_stake_category,days_from_rupture_to_recorded_resolution,days_from_announcement_to_recorded_resolution,reported_value_millions,reported_value_currency,reported_value_source,deal_description
229540765,BP PLC,GB,Rosneft Oil Co PJSC,Unnamed Buyer,2022-02-27,,Pending,INV,19.75,shared_interest_offered,,,,RUB,,BP PLC announced the sale of a minority stake in Rosneft Oil Co PJSC to Unnamed Buyer. The transaction was announced on 2/27/2022 and is currently pending. Financial terms of the transaction are undisclosed.
229544678,Government Pension Fund Global,NO,Russian assets/Government Pension Fund Global,Potential Buyer,2022-02-28,2022-08-29,Withdrawn,AST,100,full_interest_offered,186,182,,EUR,,Government Pension Fund Global announced the sale of Russian assets/Government Pension Fund Global to Potential Buyer. Financial terms of the transaction are undisclosed.
229592906,Farringford NV,CW,Vostok Oil OOO,Nord Axis Ltd,2022-03-02,2022-07-13,Completed,INV,10,shared_interest_offered,139,133,,RUB,,Farringford NV sold a minority stake in Vostok Oil OOO to Nord Axis Ltd. The transaction was announced on 3/2/2022 and completed on 7/13/2022. Financial terms of the transaction are undisclosed.
229608977,Intesa Sanpaolo SpA,IT,Russian Operations/Intesa Sanpaolo SpA,Potential Buyer,2022-03-03,2022-09-06,Withdrawn,AST,100,full_interest_offered,194,187,,EUR,,Intesa Sanpaolo SpA announced the sale of Russian Operations/Intesa Sanpaolo SpA to Potential Buyer. Financial terms of the transaction are undisclosed.
229611991,TJX Cos Inc/The,US,Maxima Group LLC/Russia,Unnamed Buyer,2022-03-03,2023-05-30,Completed,INV,25,shared_interest_offered,460,453,,USD,,TJX Cos Inc/The sold a minority stake in Maxima Group LLC/Russia to Unnamed Buyer. The transaction was announced on 3/3/2022 and completed on 5/30/2023. Financial terms of the transaction are undisclosed.
229640102,Carmignac Gestion SA,FR,Russian assets/Carmignac Gestion SA,Potential Buyer,2022-03-07,2022-09-07,Withdrawn,AST,100,full_interest_offered,195,184,,RUB,,Carmignac Gestion SA announced the sale of Russian assets/Carmignac Gestion SA to Potential Buyer. Financial terms of the transaction are undisclosed.
229824788,MTI Wireless Edge Ltd,IL,Russian Business/ MTI Wireless Edge Ltd,Private Investor,2022-03-22,2022-03-22,Completed,AST,,unclassified,26,0,,GBP,,MTI Wireless Edge Ltd sold Russian Business/ MTI Wireless Edge Ltd to Private Investor. The transaction was completed on 3/22/2022. Financial terms of the transaction are undisclosed.
229907431,Kinross Gold Corp,CA,Russia Assets/Kinross Gold Corp,Fortiana Holdings Ltd,2022-03-30,2022-09-30,Withdrawn,AST,100,full_interest_offered,218,184,,RUB,,Kinross Gold Corp announced the sale of Russia Assets/Kinross Gold Corp to Fortiana Holdings Ltd. Financial terms of the transaction are undisclosed.
229976587,Brodrene Hartmann A/S,DK,Russia Factory/Brodrene Hartmann,Potential Buyer,2022-04-04,2022-10-04,Withdrawn,AST,,unclassified,222,183,,RUB,,Brodrene Hartmann A/S announced the sale of Russia Factory/Brodrene Hartmann to Potential Buyer. Financial terms of the transaction are undisclosed.
229992189,Kinross Gold Corp,CA,"Kupol mine/Russia,Udinsk project/Russia",Highland Gold Mining Ltd,2022-04-05,2022-06-15,Completed,AST,100,full_interest_offered,111,71,340,USD,Current/Completed Total Value,Kinross Gold Corp sold Kupol mine/Russia & Udinsk project/Russia to Highland Gold Mining Ltd for USD 340.00M. The transaction was announced on 4/5/2022 and completed on 6/15/2022.
230003778,Hyve Group PLC,GB,Russian Business / Hyve Group plc,Rise Expo ltd,2022-04-06,2022-10-06,Withdrawn,AST,0,unclassified,224,183,94.15,GBP,Current/Completed Total Value,Hyve Group PLC announced the sale of Russian Business / Hyve Group plc to Rise Expo ltd for GBP 72.00M.
230049227,Societe Generale SA,FR,Rosbank PJSC,Interros Holding Co,2022-04-11,,Pending,AST,99.97,full_interest_offered,,,,EUR,,Societe Generale SA announced the sale of Rosbank PJSC to Interros Holding Co. The transaction was announced on 4/11/2022 and is currently pending. Financial terms of the transaction are undisclosed.
230061622,Compass Group PLC,GB,Food service business/Russia,Unnamed Buyer,2022-04-12,2022-04-12,Completed,AST,100,full_interest_offered,47,0,,RUB,,Compass Group PLC sold Food service business/Russia to Unnamed Buyer. The transaction was completed on 4/12/2022. Financial terms of the transaction are undisclosed.
230207372,Schneider Electric SE,FR,Russian operations/Schneider Electric SE,Management Group,2022-07-03,,Pending,AST,100,full_interest_offered,,,,EUR,,Schneider Electric SE announced the sale of Russian operations/Schneider Electric SE to Management Group. The transaction was announced on 7/3/2022 and is currently pending. Financial terms of the transaction are undisclosed.
230221865,Renault SA,FR,Avtovaz PJSC,Unnamed Buyer,2022-04-27,2022-06-30,Completed,M&A,68,shared_interest_offered,126,64,0,RUB,Current/Completed Total Value,Renault SA sold Avtovaz PJSC to Unnamed Buyer for RUB 0.00M. The transaction was announced on 4/27/2022 and completed on 6/30/2022.
230221972,Inchcape PLC,GB,Russian business operations/Inchcape,Management Group,2022-04-28,2022-05-31,Pending,AST,100,full_interest_offered,96,33,79.9,EUR,Current/Completed Total Value,Inchcape PLC announced the sale of Russian business operations/Inchcape to Management Group for EUR 76.00M. The transaction was announced on 4/28/2022 and is expected to be completed by 5/31/2022.
230237208,OMV AG,AT,Yuzhno Russkoye Gas,Potential Buyer,2022-04-29,2022-10-31,Withdrawn,INV,25,shared_interest_offered,249,185,,EUR,,OMV AG announced the sale of a minority stake in Yuzhno Russkoye Gas to Potential Buyer. Financial terms of the transaction are undisclosed.
230239896,Fazer Group,FI,Khelbny Dom OOO,Kolomensky Bakery and Confectionery Holding,2022-04-30,2022-05-05,Completed,M&A,100,full_interest_offered,70,5,,RUB,,Fazer Group sold Khelbny Dom OOO to Kolomensky Bakery and Confectionery Holding. The transaction was announced on 4/30/2022 and completed on 5/5/2022. Financial terms of the transaction are undisclosed.
230260230,Global Payments Inc,US,KOKK AO,Interros Capital International Co LLC,2022-05-02,2022-05-02,Completed,M&A,100,full_interest_offered,67,0,,EUR,,Global Payments Inc sold KOKK AO to Interros Capital International Co LLC. The transaction was completed on 5/2/2022. Financial terms of the transaction are undisclosed.
230264463,Raisio Oyj,FI,Nordik Niyutrishyen OOO,Kopeker Agro OOO,2022-04-29,2022-05-13,Completed,M&A,100,full_interest_offered,78,14,1.51,RUB,Current/Completed Total Value,Raisio Oyj sold Nordik Niyutrishyen OOO to Kopeker Agro OOO for RUB 111.46M. The transaction was announced on 4/29/2022 and completed on 5/13/2022.
230337936,Shell PLC,GB,petrol stations & lubrican plants/Russia,Potential Buyer,2022-05-08,2022-11-08,Withdrawn,AST,,unclassified,257,184,,USD,,Shell PLC announced the sale of petrol stations & lubrican plants/Russia to Potential Buyer. Financial terms of the transaction are undisclosed.
